:Arabidopsis_lyrata_negative
:centroid_mass	total_ion_count
110.8570	1.890e2
110.9064	2.429e2
111.0150	3.304e4
111.1138	1.303e1
111.1484	7.231e1
111.2027	3.142e1
111.2472	2.050e1
111.2719	2.811e1
111.3016	2.733e1
111.3510	7.250e1
111.3906	5.858e1
111.4401	8.583e1
111.4846	4.621e1
111.5193	2.968e1
111.5440	8.300e1
111.5985	3.350e1
111.6232	4.366e1
111.6629	7.784e1
111.6926	2.890e1
111.7223	3.443e1
111.7520	5.674e1
111.7867	3.299e1
111.8115	1.214e1
111.8363	4.745e1
111.8710	1.689e1
111.9007	4.296e1
111.9354	3.027e1
111.9602	3.758e1
112.0197	1.916e3
112.1140	2.462e1
112.1587	1.271e1
112.1835	3.596e1
112.2083	1.829e1
112.2977	3.011e1
112.3474	4.966e1
112.4120	1.966e1
112.4368	2.406e1
112.5213	3.372e1
112.5611	1.177e1
112.5909	2.195e1
112.6208	7.883e0
112.6556	1.639e1
112.7004	1.249e1
112.7551	8.189e0
112.7900	1.798e1
112.8298	2.056e1
112.8597	1.294e1
112.9095	1.789e1
112.9393	1.974e1
112.9942	9.836e2
113.0290	1.572e3
113.1237	1.460e1
113.1736	7.556e0
113.2085	1.207e1
113.2334	3.079e1
113.2833	3.234e1
113.3232	3.679e0
113.3531	2.690e1
113.4031	2.834e1
113.4430	2.779e1
113.5229	1.678e1
113.5528	3.789e0
113.5778	2.745e1
113.6378	4.290e1
113.7027	2.478e1
113.7377	1.528e1
113.7677	2.565e1
113.7927	1.568e1
113.8777	7.973e1
113.9227	3.503e1
113.9478	1.467e1
114.0278	9.646e2
114.0629	2.475e3
114.1430	5.301e2
114.1780	4.713e2
114.2031	3.409e2
114.2281	1.654e2
114.2582	6.865e2
114.3283	1.067e3
114.3834	5.619e2
114.4336	3.708e2
114.4737	3.763e2
114.5038	6.580e2
114.5841	4.539e2
114.6142	4.876e2
114.6593	7.445e2
114.7145	6.116e2
114.7597	5.417e2
114.7848	6.466e2
114.8300	4.327e2
114.8752	1.446e3
114.9406	6.820e2
115.0109	1.597e5
115.1215	1.848e2
115.1567	4.862e2
115.2724	4.847e2
115.3077	2.656e2
115.3580	1.972e2
115.3882	2.528e2
115.4184	2.142e2
115.4537	2.779e2
115.4839	3.305e2
115.5393	5.371e2
115.5998	6.661e2
115.6552	4.573e2
115.6955	1.364e2
115.7258	3.899e2
115.7913	4.581e2
115.8367	2.632e2
115.8821	2.308e2
115.9175	3.159e2
115.9578	6.888e1
116.0134	7.951e3
116.0790	1.063e3
116.1699	1.549e2
116.2053	1.800e2
116.2356	2.115e2
116.2962	1.472e2
116.3620	1.968e2
116.3923	1.120e2
116.4580	2.394e2
116.5137	2.083e2
116.5694	1.046e2
116.6655	2.910e2
116.7212	1.313e2
116.7617	1.211e2
116.7921	6.349e1
116.8174	1.729e2
116.8529	4.232e1
116.8985	1.964e2
116.9239	9.403e1
117.0202	8.021e3
117.1267	1.197e2
117.1875	8.994e1
117.2129	8.519e1
117.2637	7.386e1
117.3144	8.483e1
117.3398	3.468e1
117.3652	8.597e1
117.4160	7.763e1
117.4566	1.055e2
117.5277	7.727e1
117.5684	8.838e1
117.6446	8.488e1
117.6701	5.632e1
117.7209	1.130e2
117.7769	7.135e1
117.8328	4.179e1
117.8888	9.051e1
117.9193	1.731e1
117.9549	8.354e1
118.0568	2.082e3
118.1434	3.197e1
118.1790	5.756e1
118.2504	5.281e1
118.3065	5.333e1
118.3371	1.592e1
118.3676	2.436e1
118.4237	4.072e1
118.4492	4.519e1
118.5054	1.772e1
118.5411	3.471e1
118.5666	7.192e0
118.5972	4.690e1
118.6432	3.752e1
118.6993	1.619e1
118.7351	3.221e1
118.7811	9.910e0
118.8168	4.498e1
118.8935	1.963e1
118.9343	1.290e2
118.9701	4.251e1
119.0366	8.134e2
119.1850	2.599e1
119.2310	1.187e1
119.2720	1.020e1
119.3078	6.594e0
119.3385	1.814e1
119.3846	1.914e1
119.4307	9.172e0
119.4563	6.283e0
119.5075	2.223e1
119.5588	2.972e1
119.7280	2.571e1
119.7536	5.452e0
119.7793	8.364e0
119.8203	1.174e1
119.8716	4.608e0
119.9024	2.783e0
119.9486	8.302e1
120.0154	7.032e1
120.0410	8.071e1
120.1540	1.468e1
120.2054	7.158e0
120.2311	1.162e1
120.2825	1.466e1
120.3493	1.904e1
120.6941	1.199e1
120.7250	9.763e0
120.7559	6.328e0
120.7816	8.267e0
120.8126	1.115e1
120.8383	9.510e0
120.9002	3.842e0
120.9362	8.173e1
121.0342	6.455e2
121.2612	7.602e0
121.2870	7.607e0
121.3644	2.117e0
121.3954	7.257e0
121.6124	1.053e1
121.7055	4.728e0
121.7572	2.302e1
121.8606	3.385e0
121.9538	1.638e2
122.0314	2.343e2
122.6276	7.990e0
122.6535	5.175e0
122.9132	2.640e1
122.9652	3.214e1
123.0120	1.419e2
123.0484	2.358e2
123.7617	3.285e0
123.8139	4.688e0
123.9495	7.705e1
124.0017	1.384e1
124.0434	6.730e1
124.7754	8.558e0
124.9901	6.988e2
125.1107	2.198e1
125.8194	4.353e0
125.9772	1.477e1
126.0193	4.695e1
126.0561	4.743e1
126.7781	3.874e0
126.9101	5.600e1
126.9523	7.908e0
127.0052	2.952e2
127.0527	2.209e3
127.2271	2.060e0
127.2535	7.694e0
127.5816	1.303e1
127.6345	1.226e1
127.6928	1.016e1
127.7829	2.548e1
127.8199	2.125e1
127.8994	3.185e1
127.9524	8.885e0
128.0373	4.340e3
128.1540	1.746e1
128.2018	5.453e0
128.2495	1.168e1
128.2761	1.356e1
128.3079	1.058e1
128.4672	2.291e1
128.5044	1.545e1
128.5735	1.612e1
128.6160	9.226e0
128.6692	2.278e1
128.7756	2.056e1
128.8341	8.554e0
128.8713	1.311e1
128.9033	1.700e1
128.9618	3.414e2
129.0204	3.890e3
129.1268	3.421e1
129.2281	7.999e0
129.2920	7.210e0
129.4786	8.761e0
129.7668	4.535e0
129.7988	5.784e0
129.8255	2.522e0
129.8950	6.206e0
